ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
8784237149961904,2021-07,0.0805477052220077
8784237149961904,2021-07,0.0805477052220077
8784237149961904,2021-07,0.0805477052220077
8784237149961904,2021-08,0.08341041693343777
8784237149961904,2021-08,0.08341041693343777
8784237149961904,2021-08,0.08579789988372603
8784237149961904,2021-08,0.08341041693343777
8784237149961904,2021-08,0.08579789988372603
8784237149961904,2021-08,0.08341041693343777
8784237149961904,2021-08,0.08341041693343777
8784237149961904,2021-08,0.08341041693343777
8784237149961904,2021-09,0.0805477052220077
8784237149961904,2021-09,0.0805477052220077
8784237149961904,2021-09,0.0805477052220077
8784237149961904,2021-10,0.0805477052220077
8784237149961904,2021-10,0.0805477052220077
8784237149961904,2021-10,0.0805477052220077
8784237149961904,2021-10,0.0805477052220077
8784237149961904,2021-10,0.0805477052220077
8784237149961904,2021-10,0.0805477052220077
8784237149961904,2021-11,0.0805477052220077
8784237149961904,2021-11,0.0805477052220077
8784237149961904,2021-11,0.0805477052220077
8784237149961904,2021-11,0.0805477052220077
8784237149961904,2021-11,0.0805477052220077
15070048310374146,2021-07,0.20070771942591745
15070048310374146,2021-08,0.18025107084679773
15070048310374146,2021-08,0.18025107084679773
15070048310374146,2021-09,0.20070771942591745
15070048310374146,2021-10,0.20070771942591745
15070048310374146,2021-10,0.20070771942591745
18719614953021044,2021-08,0.21418284785059136
18719614953021044,2021-09,0.21418284785059136
39547025441582855,2021-07,0.2826173356757967
39547025441582855,2021-08,0.06517499512295917
39547025441582855,2021-08,0.06517499512295917
39547025441582855,2021-08,0.06517499512295917
39547025441582855,2021-09,0.06994479041315706
39547025441582855,2021-09,0.06601552703171625
39547025441582855,2021-09,0.06601552703171625
39547025441582855,2021-10,0.06517499512295917
39547025441582855,2021-10,0.06517499512295917
39547025441582855,2021-11,0.06905792887563102
49632905576538927,2021-07,0.07645251303250501
49632905576538927,2021-08,0.07399817481508235
49632905576538927,2021-11,0.07645251303250501
51762959302415533,2021-09,0.18523429475071235
51762959302415533,2021-10,0.15518399490340387
66220087398241662,2021-08,0.08512435121048324
66220087398241662,2021-09,0.0761100268581136
66220087398241662,2021-09,0.0761100268581136
66220087398241662,2021-09,0.0761100268581136
66220087398241662,2021-10,0.0761100268581136
66220087398241662,2021-10,0.0761100268581136
66220087398241662,2021-10,0.0761100268581136
66220087398241662,2021-11,0.0761100268581136
66220087398241662,2021-11,0.0761100268581136
66220087398241662,2021-11,0.0761100268581136
69766362497027920,2021-07,0.18362028383346335
69766362497027920,2021-08,0.18362028383346335
69766362497027920,2021-08,0.18362028383346335
69766362497027920,2021-09,0.18362028383346335
69766362497027920,2021-09,0.18362028383346335
69766362497027920,2021-09,0.18362028383346335
69766362497027920,2021-10,0.19995538360369092
86110062990790869,2021-07,0.13635957647874544
86110062990790869,2021-07,0.13635957647874544
86110062990790869,2021-08,0.1443608717965593
86110062990790869,2021-08,0.1443608717965593
86110062990790869,2021-09,0.23013317299274966
86110062990790869,2021-09,0.13635957647874544
